id,EAP,HPL,MWS
id02310,0.28005308089525915,0.18303099175580897,0.5369159273489317
id24541,0.26787467623090755,0.4679776458330558,0.26414767793603555
id00134,0.3638834634470623,0.4498875331685585,0.18622900338437853
id27757,0.26088654410964257,0.4033682550615761,0.3357452008287819
id04081,0.47910011581730566,0.09404238741232346,0.4268574967703707
id27337,0.307598542123943,0.3299440951508232,0.36245736272523377
id24265,0.5457810517371886,0.1871848441606632,0.2670341041021476
id25917,0.4919863747760248,0.2107229206872042,0.2972907045367706
id04951,0.31794621690247576,0.4137313146248029,0.2683224684727214
id14549,0.639364834463052,0.14643053488266863,0.21420463065427833
id22505,0.31794621690247576,0.4137313146248029,0.2683224684727214
id24002,0.23677949968439913,0.5264544048915885,0.23676609542401214
id18982,0.20893910512094147,0.31668509847066106,0.47437579640839733
id15181,0.3343323687847743,0.3025356289882931,0.3631320022269321
id21888,0.5996514289304651,0.18682833152252867,0.21352023954700608
id12035,0.6148867983539427,0.13381348757527972,0.25129971407077817
id17991,0.5057112794984602,0.24529801206908064,0.2489907084324584
id10707,0.48075060042735157,0.33533420298649935,0.18391519658614922
id07101,0.36242151246050025,0.4248035640076338,0.2127749235318662
id00345,0.3343323687847743,0.3025356289882931,0.3631320022269321
id05912,0.5382912099598663,0.18618800498296625,0.27552078505716726
id13443,0.2760772230573233,0.45577243072477014,0.2681503462179062
id09248,0.3566873216775247,0.370014244418029,0.2732984339044462
id17542,0.45305140685440753,0.26167509485370927,0.28527349829188303
id06995,0.5193926624224106,0.2846627305637017,0.19594460701388672
id25159,0.49103756656843384,0.14834519194308735,0.36061724148847835
id25729,0.38236600316334257,0.21045667755903902,0.40717731927761813
id26949,0.42019030317502026,0.4054436636564886,0.17436603316849109
id27191,0.23403918159624074,0.46053413239065927,0.30542668601310013
id07668,0.36242151246050025,0.4248035640076338,0.2127749235318662
id02230,0.4156273450901602,0.1525290483462128,0.4318436065636267
id15553,0.5278618948555911,0.33165594108632773,0.14048216405808095
id25688,0.40198889447599917,0.15016208096209163,0.44784902456190906
id17545,0.37715120259777013,0.16700124345438672,0.45584755394784277
id13929,0.5260937857314625,0.07240629740889143,0.4014999168596468
id12880,0.43697403300291177,0.15582278752977183,0.40720317946731577
id19282,0.5285283133965496,0.11034522792613814,0.36112645867731163
id14690,0.34218064314394925,0.20144160286717633,0.4563777539888745
id17975,0.28043588388813995,0.281722954751093,0.4378411613607672
id08037,0.5700881996083539,0.2350105344986585,0.19490126589298823
id15412,0.5382912099598663,0.18618800498296625,0.27552078505716726
id25032,0.6097796759654396,0.1235982823015487,0.26662204173301146
id27165,0.4939082162677739,0.22712774204820568,0.2789640416840204
id03327,0.3210406324757986,0.38909845165608786,0.2898609158681136
id18515,0.3446741353956933,0.32898360332072574,0.3263422612835804
id21003,0.3752469362121002,0.2554028477658894,0.36935021602201007
id23855,0.307598542123943,0.3299440951508232,0.36245736272523377
id20724,0.49103756656843384,0.14834519194308735,0.36061724148847835
id13303,0.5193134235923742,0.27377018497271677,0.20691639143490895
id16521,0.2705111887212167,0.5136223274270967,0.21586648385168683
id20775,0.4633911787602806,0.2712032632516828,0.2654055579880366
id13029,0.47245534560059793,0.29165899267380735,0.23588566172559514
id14660,0.5652358256283861,0.10730049695409029,0.3274636774175228
id11028,0.32262417973155527,0.12461446385056155,0.5527613564178837
id14180,0.3517815613665166,0.33500350926814376,0.3132149293653393
id25860,0.23677949968439913,0.5264544048915885,0.23676609542401214
id11910,0.5395064574213356,0.12140223586202904,0.33909130671663595
id08065,0.38236600316334257,0.21045667755903902,0.40717731927761813
id22674,0.2717132114072964,0.48160774238124165,0.24667904621146272
id25018,0.3343323687847743,0.3025356289882931,0.3631320022269321
id10892,0.307598542123943,0.3299440951508232,0.36245736272523377
id10217,0.2105496867315164,0.3426318478955895,0.4468184653728942
id12996,0.6097796759654396,0.1235982823015487,0.26662204173301146
id18262,0.3752469362121002,0.2554028477658894,0.36935021602201007
id08606,0.3566873216775247,0.370014244418029,0.2732984339044462
id17233,0.6023430762467247,0.09957273884253473,0.2980841849107402
id00101,0.45032910883758975,0.2501881448939869,0.2994827462684242
id12225,0.5983953011909283,0.1736468086463338,0.2279578901627377
id01364,0.5292375573471301,0.2741002815671065,0.19666216108576318
id24973,0.5457810517371886,0.1871848441606632,0.2670341041021476
id25363,0.2923425086874934,0.30977621973864167,0.3978812715738647
id10061,0.23501847982286703,0.49539454765816066,0.2695869725189723
id17673,0.3165949446495542,0.3582015980862029,0.3252034572642429
id13249,0.6269770799738511,0.13404746660099678,0.23897545342515084
id10107,0.42935022928918803,0.14260074926486135,0.4280490214459507
id04403,0.3566402662710662,0.38462662692016264,0.2587331068087713
id25728,0.384020355415325,0.2782568564423078,0.3377227881423673
id16184,0.44649198672826185,0.17808499519432242,0.37542301807741624
id03438,0.362039535710306,0.3961450426388419,0.241815421650852
id22923,0.6148867983539427,0.13381348757527972,0.25129971407077817
id08610,0.5760617666867804,0.1954730836987782,0.22846514961444234
id25355,0.2975631959213389,0.2051308352324214,0.49730596884623934
id16916,0.38869164880009377,0.23973556365898688,0.3715727875409191
id12793,0.23501847982286703,0.49539454765816066,0.2695869725189723
id11859,0.5457810517371886,0.1871848441606632,0.2670341041021476
id02434,0.22951897880994845,0.4451461280548813,0.32533489313517006
id27703,0.47245534560059793,0.29165899267380735,0.23588566172559514
id25212,0.4457170476974306,0.2882336843844994,0.2660492679180705
